Unnamed: 0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet
119,Grenoble,38486,Seyssins,14.1,4.0,29300.0,5.7,999.62,9.5,37.6,0,0,170,6.47,13.08
120,Grenoble,38516,La Tronche,14.1,11.6,30000.0,16.4,1010.94,17.8,48.4,0,0,170,5.01,11.87
121,Grenoble,38524,Varces-Allières-et-Risset,15.1,6.1,26780.0,16.9,396.51,11.1,26.6,0,0,170,14.19,14.92
122,Grenoble,38528,Vaulnaveys-le-Bas,12.5,5.1,28710.0,5.1,114.29,12.7,17.9,0,0,170,19.47,37.33
123,Grenoble,38529,Vaulnaveys-le-Haut,13.2,10.1,29360.0,5.0,201.01,11.3,10.4,0,0,170,13.66,25.37
124,Grenoble,38533,Venon,14.2,5.3,32850.0,4.1,186.28,7.6,10.7,0,0,170,13.43,24.51
125,Grenoble,38540,Veurey-Voroize,11.9,7.4,27510.0,7.9,114.84,8.9,45.9,0,0,170,15.61,16.89
126,Grenoble,38545,Vif,13.9,5.5,26090.0,7.1,303.32,10.3,29.0,0,0,170,17.03,19.19
127,Grenoble,38562,Vizille,11,12.1,22530.0,8.1,694.57,12.4,62.6,0,0,170,18.31,24.88
128,Grenoble,38229,Meylan,14.6,5.8,30440.0,7.1,1510.0,11.4,38.6,0,0,170,8.02,14.96
129,Grenoble,38279,Notre-Dame-de-Mésage,11.4,4.3,26290.0,5.9,245.78,5.0,0.0,0,0,170,19.65,26.74
130,Lille,59009,Villeneuve-d'Ascq,14.2,4.0,22000.0,15.6,2256.98,15.6,117.6,0,0,60,6.74,14.21
131,Lille,59013,Anstaing,13.5,3.6,27530.0,7.5,696.09,7.0,39.1,0,0,60,12.51,18.57
132,Lille,59005,Allennes-les-Marais,12.1,3.7,26280.0,8.9,636.96,8.8,16.7,0,0,60,20.85,29.25
133,Lille,59025,Aubers,13.1,4.5,29920.0,5.1,170.5,9.5,24.6,0,0,60,22.7,27.27
134,Lille,59011,Annœullin,11.8,3.4,23710.0,8.5,1197.78,9.4,54.8,0,0,60,22.61,27.16
135,Lille,59051,La Bassée,12.1,7.5,20670.0,8.5,1892.0,14.3,113.1,0,0,60,24.72,27.49
136,Lille,59052,Bauvin,10.9,4.9,22360.0,6.6,1281.79,7.6,68.2,0,0,60,25.6,31.5
137,Lille,59056,Beaucamps-Ligny,13.1,4.1,30650.0,7.1,168.8,8.5,37.9,0,0,60,15.15,17.22
