Unnamed..0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet,dist_metropole2,temps_transit
125,Grenoble,38540,Veurey-Voroize,11.9,7.4,27510.0,7.9,114.84,8.9,45.9,0,0,170,14.666,16.5833333333333,15.251,57.233333333333334
126,Grenoble,38545,Vif,13.9,5.5,26090.0,7.1,303.32,10.3,29.0,0,0,170,17.547,21.0833333333333,16.592,48.416666666666664
127,Grenoble,38562,Vizille,11,12.1,22530.0,8.1,694.57,12.4,62.6,0,0,170,18.725,25.0666666666667,17.109,51.25
128,Grenoble,38229,Meylan,14.6,5.8,30440.0,7.1,1510.0,11.4,38.6,0,0,170,6.561,12.7833333333333,5.965,23.983333333333334
129,Grenoble,38279,Notre-Dame-de-Mésage,11.4,4.3,26290.0,5.9,245.78,5.0,0.0,0,0,170,20.3,26.1833333333333,20.787,57.85
130,Lille,59009,Villeneuve-d'Ascq,14.2,4.0,22000.0,15.6,2256.98,15.6,117.6,0,0,60,10.803,14.1666666666667,8.872,40.666666666666664
131,Lille,59013,Anstaing,13.5,3.6,27530.0,7.5,696.09,7.0,39.1,0,0,60,11.582,17.15,15.567,54.65
132,Lille,59005,Allennes-les-Marais,12.1,3.7,26280.0,8.9,636.96,8.8,16.7,0,0,60,20.451,25.0,,
133,Lille,59025,Aubers,13.1,4.5,29920.0,5.1,170.5,9.5,24.6,0,0,60,22.398,23.2,28.523,66.4
134,Lille,59011,Annœullin,11.8,3.4,23710.0,8.5,1197.78,9.4,54.8,0,0,60,21.691,24.8,,
135,Lille,59051,La Bassée,12.1,7.5,20670.0,8.5,1892.0,14.3,113.1,0,0,60,23.956,24.3,37.685,92.91666666666667
136,Lille,59052,Bauvin,10.9,4.9,22360.0,6.6,1281.79,7.6,68.2,0,0,60,25.064,29.1333333333333,27.919,59.13333333333333
137,Lille,59056,Beaucamps-Ligny,13.1,4.1,30650.0,7.1,168.8,8.5,37.9,0,0,60,14.737,17.75,18.507,66.46666666666667
138,Lille,59044,Baisieux,14,3.9,26930.0,8.8,595.06,14.2,27.0,0,0,60,17.252,16.5666666666667,17.691,60.43333333333333
139,Lille,59090,Bondues,14.2,3.4,34880.0,6.5,741.45,7.7,35.9,0,0,60,14.343,18.9,13.237,53.333333333333336
140,Lille,59098,Bousbecque,12.3,3.3,24840.0,7.5,757.34,7.5,42.5,0,0,60,22.828,26.9666666666667,20.086,67.5
