"","ville_principale","Code","Libellé","loyer_m2","logements_vacants","med_revenu","jeunes","densite_pop","nouveaux_menages","beneficiaires_rsa","metropole","si_paris","temps_tgv_paris"
"200","Lille","59523","Sainghin-en-Mélantois","13.6","5.9",31510,"5.4","271.24","9","39.1","0","0",60
"201","Lille","59524","Sainghin-en-Weppes","12.2","6.4",24770,"7.4","732.6","9.3","30","0","0",60
"202","Lille","59527","Saint-André-lez-Lille","14.4","3.8",24610,"8.1","4044.38","12.9","73.8","0","0",60
"203","Lille","59550","Salomé","12.6","6.8",22610,"6.4","586.73","10.9","59.3","0","0",60
"204","Lille","59553","Santes","13.1","2.9",26460,"7.4","744.74","9.3","25.8","0","0",60
"205","Lille","59560","Seclin","13","5.1",22460,"8","737.59","10","127.3","0","0",60
"206","Lille","59566","Sequedin","13.1","5.5",25180,"10.7","1221.03","14.7","25.6","0","0",60
"207","Lille","59585","Templemars","12.9","4.6",26250,"7.3","790.22","11.5","61","0","0",60
"208","Lille","59598","Toufflers","13","5.1",25270,"7.1","1629.17","7.3","29.2","0","0",60
"209","Lille","59599","Tourcoing","12.4","9",18300,"9.7","6513.88","12.8","210.7","0","0",60
"210","Lille","59602","Tressin","13.5","3.5",29900,"7.6","734.21","8.6","17.5","0","0",60
"211","Lille","59609","Vendeville","13.5","5",29430,"6.7","594.62","9.9","38","0","0",60
"212","Lille","59611","Verlinghem","13.6","3.6",30870,"7.3","264.65","9.2","20.5","0","0",60
"213","Lille","59636","Wambrechies","13.8","5.1",26900,"6.2","696.65","9.2","42.8","0","0",60
"214","Lille","59643","Warneton","12.2","3.9",23690,"3.8","55.71","4.2","0","0","0",60
"215","Lille","59646","Wasquehal","14.3","5.5",25910,"7.9","3019.71","12.7","59.9","0","0",60
"216","Lille","59648","Wattignies","13.3","4.9",21990,"10.1","2465.24","11.7","130.7","0","0",60
"217","Lille","59650","Wattrelos","12.8","3.3",19450,"8.4","3047.46","8.2","155.7","0","0",60
"218","Lille","59653","Wavrin","12.2","4.8",23980,"7.3","571.54","8.2","55.7","0","0",60
"219","Lille","59656","Wervicq-Sud","13.3","3.3",23810,"7.6","1039.02","10","45.4","0","0",60
"220","Lille","59658","Wicres","12.3","6.4",27320,"5.7","194.29","9.1","0","0","0",60
"221","Lille","59660","Willems","13","5",25680,"7.8","516.55","8.7","46.5","0","0",60
"222","Lille","59670","Don","12.1","5.8",24970,"7.6","613.91","11.1","11.2","0","0",60
"223","Lille","59332","Lannoy","12.9","7.8",19710,"9.1","9000","15.4","121.1","0","0",60
"224","Lille","59356","Lompret","13.8","5.5",34540,"6.6","703.87","6.7","7.6","0","0",60
"225","Lyon","69003","Albigny-sur-Saône","14","7.9",27080,"6.6","1150.38","12.8","73.9","0","0",115
"226","Lyon","69033","Cailloux-sur-Fontaines","13.9","4.8",34010,"5.8","337.59","9.4","13.3","0","0",115
"227","Lyon","69040","Champagne-au-Mont-d'Or","14.9","7.3",27100,"7.2","2283.08","14.1","62.7","0","0",115
"228","Lyon","69029","Bron","14.7","5.9",21950,"12","4179.51","12.7","104.8","0","0",115
"229","Lyon","69046","Charly","14","3.8",33860,"6.4","903.14","10.4","22.1","0","0",115
"230","Lyon","69063","Collonges-au-Mont-d'Or","13.9","7.9",35240,"5.9","1188.68","11.4","55.3","0","0",115
"231","Lyon","69068","Couzon-au-Mont-d'Or","12.7","10.2",28290,"6.4","790.97","11","50.1","0","0",115
"232","Lyon","69044","Charbonnières-les-Bains","13.8","9.6",36390,"6.6","1295.37","14.4","30.5","0","0",115
"233","Lyon","69071","Curis-au-Mont-d'Or","13.6","4.2",33160,"6.4","393","10.2","26.4","0","0",115
"234","Lyon","69072","Dardilly","15.7","7.3",32510,"8.3","630.57","11.7","43.5","0","0",115
"235","Lyon","69081","Écully","15","8.3",29600,"13.5","2185.83","13.3","52.5","0","0",115
"236","Lyon","69085","Fleurieu-sur-Saône","13.5","4.7",31110,"7.7","517.59","11.6","15","0","0",115
"237","Lyon","69087","Fontaines-Saint-Martin","13.7","6.5",34190,"6.2","1127.04","5.6","58.8","0","0",115
"238","Lyon","69088","Fontaines-sur-Saône","12.1","5.9",25230,"6.5","3063.91","11.3","71.2","0","0",115
"239","Lyon","69034","Caluire-et-Cuire","14.6","7.2",27370,"7.1","4189.62","12.3","66.3","0","0",115
"240","Lyon","69091","Givors","11","8.3",18160,"7.8","1193.87","10.6","206.7","0","0",115
"241","Lyon","69096","Grigny","11.8","5.7",21900,"8.3","1698.45","10.5","81.5","0","0",115
"242","Lyon","69100","Irigny","13.3","5.5",25740,"7","1007.61","9.2","71","0","0",115
"243","Lyon","69116","Limonest","15.6","11",34510,"8.6","456.9","16.5","29.7","0","0",115
"244","Lyon","69117","Lissieu","13.6","5.1",33180,"6.6","559.3","11.7","25.7","0","0",115
"245","Lyon","69069","Craponne","13.9","5.6",27380,"6.9","2587.61","10.7","42.4","0","0",115
"246","Lyon","69127","Marcy-l'Étoile","12.8","4.6",29680,"9.1","674.81","12.1","25.9","0","0",115
"247","Lyon","69142","La Mulatière","13.5","11.9",22750,"7.9","3663.89","11.2","105.2","0","0",115
"248","Lyon","69143","Neuville-sur-Saône","14","9.3",23150,"7.4","1403.82","16.4","88","0","0",115
"249","Lyon","69149","Oullins-Pierre-Bénite","N/A - résultat non disponible","7.2",23260,"10.3","4227.87","13.4","44.4","0","0",115
"250","Lyon","69153","Poleymieux-au-Mont-d'Or","16.4","5",35970,"15.3","226.29","8.2","5","0","0",115
"251","Lyon","69163","Quincieux","12.3","5.5",26670,"6.5","200.51","8.8","34.1","0","0",115
"252","Lyon","69168","Rochetaillée-sur-Saône","12.4","7.2",29240,"6","1186.92","10.6","76.4","0","0",115
"253","Lyon","69191","Saint-Cyr-au-Mont-d'Or","17.2","9.9",40340,"5.9","808.22","12.2","54.5","0","0",115
"254","Lyon","69194","Saint-Didier-au-Mont-d'Or","17.2","4.3",42270,"6","875.3","8.8","27.3","0","0",115
"255","Lyon","69199","Saint-Fons","13.2","6",16880,"9","3173.77","9.9","208.3","0","0",115
"256","Lyon","69202","Sainte-Foy-lès-Lyon","15.1","5.4",28780,"6.6","3214.41","9.5","56.5","0","0",115
